Longitude,Latitude,RSSI
-8.512295,51.891805,
-8.512295,51.891805,-93
-8.512295,51.891805,-93
-8.512295,51.891805,-93
-8.512295,51.891805,-93
-8.512295,51.891805,-90
-8.512295,51.891805,-90
-8.512295,51.891805,-93
-8.512295,51.891805,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-90
-8.512457,51.891748,
-8.512457,51.891748,
-8.512457,51.891748,
-8.512457,51.891748,-85
-8.512457,51.891748,-85
-8.512457,51.891748,-85
-8.512457,51.891748,-85
-8.512457,51.891748,-85
-8.512457,51.891748,-85
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-82
-8.512457,51.891748,-82
-8.512457,51.891748,-82
-8.512457,51.891748,-82
-8.512457,51.891748,-82
-8.512457,51.891748,-80
-8.512457,51.891748,-82
-8.512457,51.891748,-80
-8.512457,51.891748,-82
-8.512457,51.891748,-82
-8.512457,51.891748,-82
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-84
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-86
-8.512457,51.891748,-84
-8.512457,51.891748,-84
